1,2,3,Gender,Age,Race,Education,Income,Health Insurance,weight
c1,c2,c4,2,1,1,2,1,3,0.701273947
c4,c7,c1,1,2,3,2,2,4,0.598861061
c4,c8,,2,2,3,2,1,3,0.628657191
c1,c5,c7,1,2,3,2,1,3,0.935535418
c2,c1,c4,2,1,1,3,3,1,1.543518701
c8,,,1,1,3,2,2,4,0.728151789
c8,,,2,2,3,2,3,1,0.618003647
c2,c1,c8,2,1,3,3,1,3,0.835267477
c6,c4,c8,2,1,3,1,1,4,2.329216536
c6,c2,c1,2,2,3,3,3,1,0.478780523
c1,c8,,2,2,3,2,1,3,0.628657191
c4,c3,c6,2,2,3,1,2,1,0.804551843
c6,c1,c3,2,2,3,2,1,3,0.440060034
c1,c4,c3,2,2,3,3,3,1,0.683972175
c2,c6,c8,2,2,3,2,1,4,0.618003647
c2,c4,c8,1,1,2,3,2,1,1.029169313
c8,,,2,2,3,3,2,1,0.683972175
c1,c2,c6,2,1,6,1,2,4,0.785752766
c2,c1,c8,1,2,3,1,2,1,1.227819114
c1,c6,c3,2,1,5,3,1,1,0.682792892
c6,c2,c3,2,2,3,3,2,3,0.446696333
c2,c6,c3,2,2,3,3,1,3,0.638137618
c3,c2,c8,2,2,3,2,2,3,0.628657191
c2,c1,c7,2,1,3,2,1,3,1.06461893
c1,c4,c8,2,2,3,1,1,3,0.804551843
c1,c4,c7,2,2,3,3,2,3,0.638137618
c1,c2,c7,1,2,3,3,1,3,0.714935058
c8,,,2,2,4,3,3,1,0.990089001
c8,,,2,2,3,3,3,3,0.683972175
c8,,,2,1,4,3,2,4,0.682792892
c2,c3,c8,2,2,3,3,2,3,0.638137618
c3,c7,c6,1,2,3,3,3,3,0.888419009
c8,,,2,2,3,3,2,3,0.683972175
c2,c8,,2,2,3,1,1,3,1.911532154
c8,,,1,1,4,2,1,5,1.156281529
c2,c1,c4,2,1,4,3,3,1,0.940440538
c8,,,1,1,3,1,2,4,0.882519324
c3,c4,c6,2,1,3,3,3,1,1.193239253
c6,c2,c4,2,1,3,3,3,2,0.930419006
c1,c8,,1,1,3,3,2,3,0.713093482
c2,c1,c8,1,1,5,3,3,1,0.851514737
c4,c1,c2,2,2,3,3,1,3,0.638137618
c3,c4,c8,2,2,5,1,1,1,3.568310223
c3,c1,c2,2,1,3,2,1,3,0.816694769
c6,c2,c1,2,2,1,2,3,1,0.867274849
c2,c1,c4,2,2,3,2,1,3,0.432602553
c4,c2,c3,2,1,3,1,2,1,1.931062582
c8,,,1,2,2,3,1,1,0.675774729
c6,c3,c2,1,2,1,3,2,2,0.432879123
c8,,,2,2,3,3,1,3,0.446696333
c1,c2,c7,2,2,1,2,2,1,0.51148225
c1,c2,c8,2,2,3,3,3,1,0.478780523
c4,c1,c6,2,2,1,2,2,3,0.867274849
c7,c8,,2,2,3,2,1,3,0.432602553
c8,,,2,2,3,2,2,2,0.628657191
c2,c1,c6,2,1,3,2,1,3,0.571686338
c1,c8,,2,2,3,3,2,1,0.683972175
c2,c7,c6,1,1,3,3,3,1,0.424360269
c1,c7,c2,2,2,3,2,1,1,0.432602553
c7,c8,,2,1,4,3,1,2,0.975418417
c1,c6,c4,1,2,3,3,3,3,0.888419009
c6,c5,c8,2,1,3,3,2,1,1.193239253
c1,c2,c3,1,2,3,1,1,3,3.142077952
c8,,,2,2,3,3,2,1,0.683972175
c1,c2,c8,2,1,3,1,1,3,1.351743808
c4,c1,c3,2,2,3,3,1,3,0.638137618
c8,,,2,1,2,2,1,3,0.987518126
c1,c2,c4,2,2,3,3,2,3,0.638137618
c1,c8,,2,1,3,2,1,1,1.520884186
c5,c1,c2,2,1,4,3,3,2,0.682792892
c6,c7,c4,1,1,2,3,3,1,1.029169313
c1,c4,c3,2,2,1,2,1,1,0.867274849
c2,c4,c8,2,1,1,2,1,3,1.007899169
c1,c3,c6,2,2,3,2,1,3,0.440060034
c1,c2,c4,1,1,3,3,1,1,0.424360269
c6,c4,c7,2,1,1,2,2,1,1.001819925
c1,c2,c3,1,2,3,3,3,3,0.50045454
c2,c8,,2,1,4,1,2,3,0.785752766
c4,c1,c8,2,2,3,3,3,1,0.683972175
c1,c2,c4,1,1,3,2,1,1,0.728151789
c1,c4,c8,2,2,3,2,1,3,0.628657191
c2,c4,c1,1,2,3,3,3,3,0.888419009
c8,,,2,2,3,1,1,3,1.911532154
c8,,,2,2,1,3,2,3,0.405751822
c2,c1,c8,1,1,1,1,2,3,1.350517993
c6,c1,c4,2,2,3,2,1,3,0.440060034
c4,c6,c8,1,2,3,3,3,4,0.714935058
c4,c1,c7,2,2,3,3,2,3,0.478780523
c8,,,2,1,3,3,1,3,0.930419006
c1,c6,c3,1,2,3,3,1,3,0.50045454
c4,c6,c7,1,2,2,3,3,1,0.675774729
c4,c1,c7,1,2,3,2,1,3,0.419202742
c6,c1,c3,2,1,3,3,3,2,1.329170009
c6,c2,c1,2,1,3,3,1,1,0.930419006
c6,c7,c4,1,2,3,3,2,1,0.888419009
c3,c4,c6,2,2,3,1,2,3,1.149359776
c1,c4,c7,1,2,3,3,2,2,0.714935058
c2,c1,c3,2,1,1,3,3,1,0.546388128
c3,c2,c1,2,2,2,1,1,2,4.148953241
c6,c2,c8,1,2,3,3,3,1,0.888419009
c1,c2,c4,2,1,4,3,2,5,0.682792892
c2,c8,,2,2,3,1,1,3,0.804551843
c1,c7,c2,1,1,3,3,3,1,0.713093482
c1,c2,c8,2,1,3,1,1,2,1.931062582
c3,c8,,1,2,3,3,3,3,0.888419009
c1,c4,c7,2,2,3,3,2,1,0.478780523
c6,c2,c1,2,2,2,2,1,1,1.73706528
c8,,,2,1,1,1,1,3,1.637574222
c3,c1,c2,2,2,3,3,2,1,0.478780523
c4,c2,c1,2,2,2,3,1,1,0.664673675
c8,,,1,1,3,3,3,5,0.424360269
c2,c1,c7,2,1,4,3,3,1,0.682792892
c1,c4,c3,2,2,3,3,3,2,0.683972175
c2,c1,c7,2,2,3,3,3,3,0.638137618
c3,c6,c1,1,2,3,2,1,3,0.654874793
c1,c6,c4,2,2,3,2,2,3,0.628657191
c8,,,2,1,3,1,3,1,1.630451575
c8,,,2,1,3,3,1,3,0.835267477
c7,c5,c6,1,2,3,1,1,2,1.227819114
c1,c2,c4,2,2,3,2,2,3,0.628657191
c2,c6,c1,2,1,2,2,2,2,1.432052115
c2,c4,c1,2,2,3,3,1,3,0.683972175
c2,c8,,2,2,3,2,2,3,0.628657191
c2,c1,c4,2,1,3,2,2,1,0.816694769
c8,,,1,1,3,3,2,1,0.424360269
c8,,,2,1,3,2,2,1,0.816694769
c4,c6,c2,2,2,3,1,1,3,1.149359776
c3,c2,c8,2,1,3,3,1,1,0.930419006
c1,c6,c2,2,1,2,3,2,3,0.504007491
c8,,,2,2,3,3,2,1,0.478780523
c1,c4,c2,2,2,3,1,1,3,0.804551843
c1,c4,c3,2,2,3,1,1,3,1.911532154
c2,c4,c5,2,1,1,3,2,1,0.546388128
c4,c3,c1,1,2,3,3,3,1,0.50045454
c4,c8,,2,2,3,3,1,4,0.683972175
c1,c2,c4,1,2,3,2,1,3,0.654874793
c8,,,1,2,3,1,1,3,3.142077952
c1,c4,c5,2,2,3,1,1,3,1.338072508
c4,c1,c2,1,2,1,2,2,3,0.930065551
c2,c8,,2,1,5,1,3,2,0.785752766
c2,c3,c8,2,2,3,2,2,4,0.432602553
c6,c2,c7,2,1,3,3,3,1,1.329170009
c1,c2,c8,1,1,2,1,1,1,1.823833942
c1,c6,c4,2,2,3,3,3,3,0.638137618
c3,c8,,2,1,3,3,3,1,0.930419006
c8,,,1,1,1,2,2,1,0.523926899
c1,c5,c8,2,2,1,2,3,1,0.867274849
c1,c2,c7,1,1,3,3,3,2,0.424360269
c1,c2,c8,2,2,3,2,2,3,0.628657191
c4,c1,c3,2,2,3,3,3,3,0.638137618
c2,c1,c6,1,1,3,3,3,1,0.424360269
c2,c1,c7,1,2,3,3,2,1,0.714935058
c8,,,2,2,2,2,1,1,1.136200878
c2,c1,c8,2,2,4,3,1,4,0.990089001
c3,c7,c5,2,2,3,3,1,3,0.446696333
c2,c1,c4,1,1,3,3,3,2,0.424360269
c1,c6,c2,1,1,1,3,3,1,0.499117395
c1,c4,c2,1,2,3,3,2,1,0.621893306
c1,c4,c2,1,1,1,2,1,3,0.523926899
c2,c4,c8,2,2,3,1,2,1,1.149359776
c2,c4,c3,2,2,3,3,3,3,0.638137618
c6,c7,c5,1,1,3,3,3,1,0.424360269
c4,c2,c3,1,2,3,3,2,3,0.621893306
c4,c1,c2,1,2,3,3,3,3,0.888419009
c4,c1,c7,1,1,3,3,3,4,0.297052188
c4,c2,c8,2,1,3,3,2,1,1.329170009
c4,c1,c5,1,2,1,3,2,3,0.269321197
c4,c6,c1,2,2,3,3,2,3,0.638137618
c8,,,1,1,4,1,3,5,6.121703404
c2,c1,c6,2,2,3,2,2,3,0.628657191
c7,c4,c1,2,2,3,3,3,1,0.638137618
c4,c6,c1,2,2,3,1,3,1,1.149359776
c7,c4,c5,1,2,3,3,3,3,0.888419009
c4,c6,c1,2,2,2,2,2,3,1.623144112
c1,c6,c2,2,2,3,2,1,3,0.618003647
c4,c1,c6,1,2,3,2,2,2,0.935535418
c6,c1,c7,2,2,2,2,2,2,1.136200878
c1,c8,,2,1,3,3,3,2,0.930419006
c8,,,2,2,3,2,3,1,0.628657191
c1,c4,c6,2,2,3,3,1,3,0.446696333
c8,,,2,2,3,3,1,3,0.638137618
c4,c1,c7,1,2,2,3,3,1,0.675774729
c2,c4,c6,2,1,2,1,1,2,2.585396263
c2,c1,c8,1,2,3,1,1,3,3.142077952
c2,c1,c8,1,1,3,3,1,2,0.713093482
c6,c1,c4,2,2,3,2,1,3,0.628657191
c1,c4,c8,2,2,3,3,3,3,0.446696333
c1,c4,c8,2,2,3,3,3,3,0.638137618
c3,c2,c1,1,2,3,1,2,3,2.199454566
c2,c6,c4,2,2,1,3,3,1,0.579645459
c4,c2,c3,2,1,2,2,1,3,0.987518126
c4,c2,c8,1,2,2,3,2,1,0.675774729
c2,c1,c4,2,2,3,2,1,2,0.628657191
c1,c2,c8,2,1,3,3,2,1,0.930419006
c6,c3,c8,2,1,1,2,1,3,1.007899169
c4,c1,c6,2,2,3,3,3,1,0.683972175
c2,c4,c1,2,1,1,2,2,3,0.701273947
c1,c7,c3,1,2,3,3,3,1,0.714935058
c1,c2,c6,1,2,2,2,1,3,1.150020943
c2,c4,c8,2,1,3,1,1,5,1.630451575
c1,c2,c6,1,2,2,3,3,1,2.271454413
c4,c8,,2,2,3,3,1,3,0.638137618
c1,c3,c2,1,1,1,2,1,3,0.523926899
c1,c2,c6,2,2,3,2,2,3,0.628657191
c4,c6,c5,2,2,3,3,2,1,0.683972175
c4,c1,c7,1,2,3,3,2,1,0.714935058
c7,c8,,1,1,6,3,3,4,1.216449624
c3,c2,c8,2,2,3,1,1,3,0.804551843
c4,c1,c6,2,2,1,3,2,1,0.631206762
c2,c1,c8,2,1,4,3,1,3,0.940440538
c4,c6,c3,1,2,3,3,3,3,0.621893306
c8,,,2,1,3,2,2,3,1.06461893
c8,,,2,2,3,3,3,1,0.683972175
c8,,,2,2,3,2,1,3,0.628657191
c8,,,2,2,3,3,2,3,0.638137618
c5,c7,c4,1,1,3,1,3,5,1.260741892
c3,c2,c1,1,1,4,3,3,1,1.216449624
c2,c7,c4,2,2,4,3,3,1,0.467115707
c1,c7,c5,2,1,2,2,2,1,1.002436481
c4,c8,,1,2,3,3,3,3,0.888419009
c1,c2,c4,2,2,3,2,2,3,0.440060034
c1,c2,c5,1,1,1,3,2,1,0.618000622
c6,c2,c4,1,1,3,2,2,1,1.040216841
c8,,,1,2,3,3,2,3,0.621893306
c8,,,1,2,3,3,3,3,0.888419009
c2,c1,c8,1,1,3,3,1,4,0.713093482
c3,c2,c6,2,1,3,3,2,1,1.329170009
c8,,,2,2,3,3,2,1,0.683972175
c6,c2,c1,2,1,3,2,3,1,1.06461893
c2,c1,c3,1,1,1,2,1,4,0.523926899
c1,c2,c3,2,2,3,3,1,3,0.478780523
c4,c8,,1,2,3,3,1,1,0.888419009
c6,c1,c3,2,1,3,3,3,1,1.193239253
c2,c3,c8,2,1,5,3,3,4,0.658308377
c8,,,2,1,3,3,2,1,1.329170009
c1,c7,c4,1,2,3,3,3,1,0.714935058
c8,,,2,2,3,2,1,4,0.432602553
c1,c2,c4,1,2,3,3,2,3,0.888419009
c1,c3,c2,2,2,3,3,2,1,0.683972175
c1,c6,c5,2,2,3,3,3,1,0.638137618
c2,c8,,2,1,3,2,2,4,0.571686338
c5,c2,c6,2,1,1,2,1,3,1.007899169
c2,c1,c5,2,1,3,2,2,3,1.06461893
c3,c1,c4,1,1,1,3,2,1,0.432600436
c8,,,2,1,3,3,2,1,1.193239253
c8,,,1,1,3,3,2,1,1.018704974
c8,,,1,1,3,2,2,1,1.040216841
c2,c1,c8,2,1,2,3,2,2,0.502098792
c7,c6,c2,2,2,2,1,1,3,2.746370415
c2,c1,c8,2,2,1,3,2,2,0.579645459
c4,c2,c1,2,2,3,3,2,1,0.478780523
c2,c4,c1,1,1,3,2,2,2,1.812703156
c2,c8,,2,2,3,3,3,1,0.683972175
c8,,,2,2,3,3,3,3,0.638137618
c1,c7,c2,1,2,2,3,1,1,0.47304231
c1,c2,c8,2,1,2,2,3,4,1.41074018
c1,c8,,2,2,3,3,2,3,0.478780523
c6,c8,,2,2,3,3,1,2,0.638137618
c4,c1,c2,2,2,3,2,2,3,0.628657191
c1,c2,c6,2,1,1,2,3,3,1.439855956
c4,c6,c1,2,1,3,3,3,1,1.193239253
c5,c3,c1,1,1,3,3,2,1,0.713093482
c1,c2,c8,1,1,3,2,1,3,0.728151789
c1,c8,,2,1,3,3,2,1,0.930419006
c3,c1,c2,1,1,3,3,2,1,0.713093482
c8,,,2,1,3,2,1,2,0.816694769
c8,,,2,1,3,1,1,3,1.351743808
c6,c1,c3,1,1,3,3,3,1,0.424360269
c5,c3,c4,2,1,1,3,3,1,1.543518701
c1,c2,c4,2,2,5,2,3,1,1.196370113
c1,c8,,2,2,3,2,1,4,0.618003647
c4,c8,,1,1,3,3,3,3,1.018704974
c6,c1,c2,1,2,2,2,1,3,0.527061846
c6,c1,c2,2,1,1,3,1,4,0.38247169
c4,c7,c3,2,2,3,2,1,1,0.618003647
c3,c2,c6,2,1,3,3,1,1,0.930419006
c3,c2,c1,2,2,5,2,1,4,1.196370113
c8,,,1,1,3,1,1,1,1.260741892
c4,c8,,1,1,3,1,2,2,1.734675902
c1,c6,c4,2,2,3,3,2,3,0.638137618
c2,c8,,1,1,3,3,3,1,0.424360269
c2,c1,c6,2,2,3,3,1,3,0.683972175
c1,c4,c2,2,2,1,1,2,3,4.792440714
c6,c1,c2,2,2,3,2,2,3,0.618003647
c1,c4,c2,2,2,3,1,1,4,0.804551843
c3,c8,,1,1,3,3,3,1,0.424360269
c8,,,2,2,3,3,3,1,0.683972175
c8,,,1,1,5,1,1,1,4.285192383
c2,c1,c6,2,2,3,2,3,3,0.628657191
c4,c1,c2,1,2,3,3,2,1,0.714935058
c4,c7,c8,2,2,3,2,2,3,0.628657191
c8,,,2,2,3,2,1,1,0.432602553
c1,c4,c3,2,2,3,3,2,2,0.683972175
c5,c8,,2,1,3,3,2,1,1.193239253
c1,c2,c4,1,2,3,1,1,3,1.227819114
c4,c1,c7,2,1,2,2,3,1,1.002436481
c8,,,1,1,3,3,2,3,0.424360269
c8,,,2,2,4,3,3,1,0.990089001
c2,c1,c4,2,1,4,3,1,2,0.940440538
c8,,,1,2,1,3,2,3,0.269321197
c2,c4,c8,2,2,3,2,2,1,0.618003647
c2,c1,c4,2,2,3,2,1,3,0.440060034
c1,c2,c8,2,1,3,3,2,1,0.930419006
c2,c3,c1,1,2,3,3,2,3,0.621893306
c1,c2,c6,1,1,4,3,2,1,1.216449624
c1,c6,c8,2,2,3,1,2,3,1.911532154
c2,c5,c8,2,2,3,2,3,1,0.440060034
c1,c3,c4,1,2,3,3,3,3,0.888419009
c8,,,2,1,6,1,2,1,4.340445727
c1,c2,c4,2,1,3,3,2,1,1.193239253
c8,,,2,2,3,3,3,1,0.638137618
c6,c8,,2,1,2,1,1,4,1.211083399
c2,c3,c1,2,2,3,2,2,1,0.432602553
c1,c2,c6,2,1,3,3,1,1,0.930419006
c1,c6,c7,2,1,3,2,2,3,0.571686338
c3,c1,c8,2,2,3,2,3,3,0.628657191
c3,c2,c8,1,1,3,3,3,1,0.424360269
c1,c6,c4,2,2,3,2,3,3,0.628657191
c7,c2,c1,2,1,3,1,2,2,1.630451575
c6,c3,c4,2,2,3,3,2,1,0.683972175
c3,c8,,1,2,3,3,3,1,0.714935058
c3,c8,,2,2,3,3,1,1,0.478780523
c1,c2,c6,2,1,4,2,2,2,1.358274776
c4,c1,c6,2,2,1,3,2,2,0.579645459
c1,c3,c5,2,1,3,2,1,1,0.571686338
c8,,,2,1,3,3,1,3,1.193239253
c8,,,1,2,3,1,2,3,3.142077952
c1,c8,,2,1,3,3,3,1,1.193239253
c4,c6,c1,2,2,3,2,2,3,0.628657191
c1,c2,c4,2,1,4,3,2,1,0.975418417
c4,c2,c7,2,1,3,3,3,2,1.193239253
c1,c4,c8,1,1,3,3,3,2,0.424360269
c2,c1,c8,2,1,3,2,3,1,0.816694769
c1,c5,c4,1,2,4,2,3,3,0.734226942
c2,c8,,2,1,3,3,2,1,1.329170009
c6,c3,c1,1,2,1,2,3,1,0.930065551
c4,c3,c1,2,2,3,2,3,2,0.618003647
c6,c8,,2,1,1,3,2,1,0.546388128
c1,c6,c4,2,2,2,2,2,3,1.136200878
c2,c3,c7,2,1,3,3,1,1,1.329170009
c1,c8,,2,1,3,2,2,1,1.520884186
c2,c3,c1,2,2,3,3,3,3,0.638137618
c1,c3,c5,1,2,3,3,1,3,0.621893306
c7,c2,c3,1,1,4,3,2,2,1.92365877
c1,c3,c6,1,1,1,2,1,3,1.772323151
c1,c2,c4,2,1,3,1,1,3,1.630451575
c4,c1,c3,2,2,3,2,3,1,0.618003647
c4,c3,c2,2,2,3,3,3,3,0.683972175
c8,,,2,1,2,2,2,1,1.002436481
c2,c1,c8,2,1,3,3,2,2,1.329170009
c7,c6,c5,1,2,3,3,3,1,0.50045454
c8,,,2,2,3,2,1,3,0.618003647
c3,c7,c2,1,2,3,1,1,4,0.85947338
c2,c8,,2,2,3,1,1,3,1.338072508
c7,c2,c5,2,2,3,1,2,3,1.911532154
c4,c7,c5,1,2,3,3,3,2,0.714935058
c2,c3,c1,2,2,3,3,3,1,0.683972175
c8,,,2,2,2,3,3,1,0.664673675
c6,c1,c8,2,1,2,3,3,1,0.720010701
c2,c1,c8,1,2,3,2,1,3,0.419202742
c6,c2,c1,2,2,3,3,3,1,0.683972175
c6,c1,c2,2,2,2,2,1,3,1.136200878
c3,c1,c4,1,2,3,3,3,3,0.888419009
c2,c1,c4,2,2,3,1,1,3,1.149359776
c1,c2,c4,2,1,2,2,1,3,0.987518126
c3,c8,,1,2,3,1,3,2,0.85947338
c8,,,2,2,5,2,2,2,2.505275397
c2,c1,c6,2,1,5,3,2,1,0.975418417
c8,,,1,1,3,1,3,3,2.478108431
c5,c6,c3,2,2,2,2,1,3,1.623144112
c8,,,2,2,3,1,2,2,1.911532154
c5,c6,c1,2,1,2,3,3,2,0.502098792
c1,c4,c6,1,2,3,2,1,3,0.654874793
c2,c1,c5,2,2,3,2,2,3,0.432602553
c1,c7,c8,2,2,1,2,2,3,0.867274849
c8,,,2,1,3,2,1,3,1.520884186
c1,c2,c7,2,2,2,2,2,3,1.73706528
c8,,,2,2,3,2,2,4,0.432602553
c1,c2,c6,2,1,3,3,3,1,0.835267477
c2,c5,c4,2,1,3,3,3,3,1.329170009
c8,,,2,1,1,1,1,1,1.637574222
c7,c1,c3,1,1,3,3,3,1,1.018704974
c8,,,2,1,1,3,1,4,0.38247169
c8,,,2,1,3,3,3,1,1.193239253
c1,c3,c4,1,2,3,3,3,3,0.888419009
c4,c3,c2,2,2,3,3,1,3,0.446696333
c2,c1,c8,1,1,3,2,2,1,1.040216841
c1,c3,c4,1,2,3,2,2,1,0.654874793
c2,c8,,2,2,3,2,3,1,0.618003647
c4,c1,c7,1,1,2,3,2,1,0.720418519
c1,c3,c4,2,2,3,3,3,3,0.638137618
c2,c4,c8,2,2,3,2,2,3,0.628657191
c2,c1,c6,2,1,3,3,3,1,1.193239253
c1,c8,,2,2,3,1,3,1,0.804551843
c6,c1,c2,2,2,3,3,3,2,0.683972175
c4,c6,c8,1,1,2,3,2,2,0.387688347
c2,c1,c7,2,1,3,3,3,1,1.329170009
c1,c4,c3,2,1,2,2,1,3,1.002436481
c1,c3,c6,2,2,3,1,1,4,1.149359776
c2,c3,c1,2,1,3,3,3,1,1.193239253
c2,c1,c8,2,2,3,2,2,3,0.618003647
c4,c3,c2,1,2,2,1,2,2,1.603812176
c2,c7,c1,2,2,3,3,3,3,0.638137618
c2,c1,c8,1,1,3,3,2,5,0.713093482
c1,c3,c2,2,1,3,3,3,1,1.329170009
c4,c1,c2,2,2,1,1,2,3,3.275779015
c1,c2,c6,2,1,3,2,1,1,1.06461893
c2,c1,c8,2,2,3,1,1,1,1.149359776
c6,c1,c4,2,2,3,3,3,1,0.683972175
c2,c1,c6,2,1,1,3,1,3,0.38247169
c4,c7,c2,2,1,3,3,2,1,1.329170009
c8,,,2,1,3,2,2,1,0.816694769
c2,c3,c8,1,1,3,3,1,1,0.713093482
c6,c5,c3,2,1,3,2,3,1,0.816694769
c8,,,2,1,4,2,1,3,1.197786636
c2,c4,c5,1,1,3,3,2,2,0.713093482
c8,,,2,2,3,3,1,2,0.478780523
c2,c1,c6,2,1,4,3,3,1,0.682792892
c4,c1,c2,2,2,3,2,3,3,0.628657191
c5,c4,c8,2,1,3,3,1,4,0.930419006
c4,c1,c3,2,2,3,3,3,1,0.683972175
c2,c3,c4,1,2,3,3,3,3,0.888419009
c4,c1,c3,2,1,3,3,3,1,1.193239253
c1,c3,c4,1,2,3,1,1,3,3.142077952
c3,c6,c2,1,2,3,2,2,1,0.598861061
c1,c6,c7,2,1,3,3,1,5,0.930419006
